,percentage_err,step
124,0.09455339567892775,6.268844221105528e-06
125,0.012145459318478567,6.318592964824121e-06
126,0.05282896191670402,6.368341708542713e-06
127,0.0526339832165163,6.418090452261306e-06
128,0.04714412594236292,6.4678391959798995e-06
129,0.09910183589006266,6.517587939698493e-06
130,0.1098456459307203,6.567336683417086e-06
131,0.01405478633049838,6.617085427135678e-06
132,0.10453674439681704,6.666834170854271e-06
133,0.04285644940713224,6.716582914572864e-06
134,0.0021763287767862325,6.7663316582914575e-06
135,0.015391430635970475,6.816080402010051e-06
136,0.011658710076051453,6.865829145728643e-06
137,0.01658302746536787,6.915577889447236e-06
138,0.0829023795764914,6.965326633165829e-06
139,0.10196912819712052,7.015075376884422e-06
140,0.1109446953479536,7.064824120603015e-06
141,0.0226425050159648,7.114572864321608e-06
